"uid"	"qRad"	"qLat"	"qLong"	"qString"	"block"	"isDone"	"timLocs"
"35390333"	446.10295601888	42.99525	-81.28599	"42.99525,-81.28599"	43	FALSE	""
"35400128"	4277.14459201974	43.72034	-81.51599	"43.72034,-81.51599"	43	FALSE	""
"59152217"	282.073088097644	49.17356	-122.86947	"49.17356,-122.86947"	43	FALSE	""
"59150610"	141.722723996565	49.26747	-123.16657	"49.26747,-123.16657"	43	FALSE	""
"35390011"	229.252277421107	43.03798	-81.23395	"43.03798,-81.23395"	43	FALSE	""
"12030040"	2243.87809546559	44.65862	-65.78513	"44.65862,-65.78513"	43	FALSE	""
"35061613"	432.187122235404	45.39628	-75.70039	"45.39628,-75.70039"	43	FALSE	""
"13050187"	1966.1586353739	45.38965	-66.25878	"45.38965,-66.25878"	43	FALSE	""
"24520091"	4209.20948290024	46.08981	-73.34082	"46.08981,-73.34082"	43	FALSE	""
"10050090"	1441.36731168882	49.1793	-57.45218	"49.1793,-57.45218"	43	FALSE	""
"24660233"	206.029847771861	45.57215	-73.58404	"45.57215,-73.58404"	43	FALSE	""
"59150977"	228.098733402661	49.2641	-123.18974	"49.2641,-123.18974"	43	FALSE	""
"47060313"	305.8840678508	50.46408	-104.66608	"50.46408,-104.66608"	43	FALSE	""
"35202084"	167.465164700064	43.72487	-79.50716	"43.72487,-79.50716"	43	FALSE	""
"47060607"	1417.39448485753	51.01581	-103.35489	"51.01581,-103.35489"	43	FALSE	""
"35400211"	5131.6421031902	43.32554	-81.33612	"43.32554,-81.33612"	43	FALSE	""
"12090406"	405.40330752324	44.66739	-63.53949	"44.66739,-63.53949"	43	FALSE	""
"35250048"	258.174494284612	43.25467	-79.95643	"43.25467,-79.95643"	43	FALSE	""
"59090096"	129.865042825077	49.04724	-122.34093	"49.04724,-122.34093"	43	FALSE	""
"24370136"	196.754682372372	46.35764	-72.54923	"46.35764,-72.54923"	43	FALSE	""
"46150083"	679.407618164672	50.49845	-99.91124	"50.49845,-99.91124"	43	FALSE	""
"59410265"	3223.75638088621	53.04796	-122.64684	"53.04796,-122.64684"	43	FALSE	""
"35200307"	112.665252469925	43.78782	-79.33974	"43.78782,-79.33974"	43	FALSE	""
"35210067"	133.510423503305	43.71305	-79.75397	"43.71305,-79.75397"	43	FALSE	""
"48061298"	227.407159698798	50.96064	-114.06103	"50.96064,-114.06103"	43	FALSE	""
"35120270"	867.667537959726	44.24554	-77.43311	"44.24554,-77.43311"	43	FALSE	""
"35203867"	209.11234072831	43.69342	-79.34554	"43.69342,-79.34554"	43	FALSE	""
"47110022"	178.279773886042	52.18695	-106.62059	"52.18695,-106.62059"	43	FALSE	""
"35204033"	271.803841127565	43.75874	-79.43561	"43.75874,-79.43561"	43	FALSE	""
"12020081"	5374.96430319568	43.86378	-65.86441	"43.86378,-65.86441"	43	FALSE	""
"35201295"	183.072224654752	43.65691	-79.47128	"43.65691,-79.47128"	43	FALSE	""
"24050058"	3363.28911943389	48.06609	-65.57929	"48.06609,-65.57929"	43	FALSE	""
"13050199"	662.725855654717	45.51978	-65.83775	"45.51978,-65.83775"	43	FALSE	""
"24650219"	284.36381700014	45.59996	-73.65335	"45.59996,-73.65335"	43	FALSE	""
"13070334"	483.191318032295	46.08255	-64.72582	"46.08255,-64.72582"	43	FALSE	""
"35390860"	348.763777876097	43.00182	-81.17102	"43.00182,-81.17102"	43	FALSE	""
"59153183"	150.879669769629	49.28267	-123.08966	"49.28267,-123.08966"	43	FALSE	""
"35431315"	231.109473059028	44.37207	-79.68609	"44.37207,-79.68609"	43	FALSE	""
"24290116"	2200.20555288753	46.01996	-70.96793	"46.01996,-70.96793"	43	FALSE	""
"24660023"	170.196124879267	45.66861	-73.50226	"45.66861,-73.50226"	43	FALSE	""
"47110651"	320.372493896699	52.11218	-106.58361	"52.11218,-106.58361"	43	FALSE	""
"48060914"	228.808656378742	51.03921	-113.97669	"51.03921,-113.97669"	43	FALSE	""
"59331596"	468.111325074031	50.19408	-121.58731	"50.19408,-121.58731"	43	FALSE	""
"47140231"	526.795523114916	52.43902	-103.86001	"52.43902,-103.86001"	43	FALSE	""
"35420329"	189.041740907307	44.57601	-80.95306	"44.57601,-80.95306"	43	FALSE	""
"35250316"	789.358382194275	43.2344	-79.72682	"43.2344,-79.72682"	43	FALSE	""
"59090557"	192.103316712528	49.16924	-121.96296	"49.16924,-121.96296"	43	FALSE	""
"35290140"	293.849282406939	43.16555	-80.2704	"43.16555,-80.2704"	43	FALSE	""
"24810372"	498.802262331805	45.38122	-75.80303	"45.38122,-75.80303"	43	FALSE	""
"35400111"	1180.63287460664	43.86904	-81.15806	"43.86904,-81.15806"	43	FALSE	""
"24090048"	222.34734476989	48.59271	-68.19347	"48.59271,-68.19347"	43	FALSE	""
