Census Profile - Dissemination Areas (DAs),,,,,,,,,,,,
Geo_Code,Prov_Name,DA_Name,Topic,Characteristic,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
10010170,Newfoundland and Labrador,0170,Age characteristics,   50 to 54 years,,30,,20,,10,
10010170,Newfoundland and Labrador,0170,Age characteristics,   55 to 59 years,,50,,20,,30,
10010170,Newfoundland and Labrador,0170,Age characteristics,   60 to 64 years,,50,,25,,25,
10010170,Newfoundland and Labrador,0170,Age characteristics,   65 to 69 years,,20,,10,,10,
10010170,Newfoundland and Labrador,0170,Age characteristics,   70 to 74 years,,10,,0,,10,
10010170,Newfoundland and Labrador,0170,Age characteristics,   75 to 79 years,,5,,0,,0,
10010170,Newfoundland and Labrador,0170,Age characteristics,   80 to 84 years,,10,,5,,5,
10010170,Newfoundland and Labrador,0170,Age characteristics,   85 years and over,,5,,0,,0,
10010170,Newfoundland and Labrador,0170,Age characteristics,Median age of the population,5,43.8,,40.6,,46.6,
10010170,Newfoundland and Labrador,0170,Age characteristics,% of the population aged 15 and over,,89.3,,88.2,,88.5,
10010171,Newfoundland and Labrador,0171,Population and dwelling counts,Population in 2011,1,536,,,...,,...
10010171,Newfoundland and Labrador,0171,Population and dwelling counts,Population in 2006,1,,...,,...,,...
10010171,Newfoundland and Labrador,0171,Population and dwelling counts,2006 to 2011 population change (%),,,...,,...,,...
10010171,Newfoundland and Labrador,0171,Population and dwelling counts,Total private dwellings,2,221,,,...,,...
10010171,Newfoundland and Labrador,0171,Population and dwelling counts,Private dwellings occupied by usual residents,3,210,,,...,,...
10010171,Newfoundland and Labrador,0171,Population and dwelling counts,Population density per square kilometre,,,...,,...,,...
10010171,Newfoundland and Labrador,0171,Population and dwelling counts,Land area (square km),,0.11,,,...,,...
10010171,Newfoundland and Labrador,0171,Age characteristics,Total population by age groups,4,540,,265,,270,
10010171,Newfoundland and Labrador,0171,Age characteristics,   0 to 4 years,,25,,10,,15,
